service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
110,0,0,0,0,0,1,1,20230415,20230430
111,1,0,0,0,0,0,1,20230416,20230501
112,0,0,0,0,0,1,1,20230416,20230416
113,0,0,0,0,0,1,1,20230416,20230423
114,0,0,0,0,0,1,1,20230416,20230430
115,1,0,0,0,0,0,1,20230417,20230424
116,0,0,0,0,0,1,1,20230416,20230430
117,1,1,1,1,1,0,0,20230417,20230421
118,1,1,1,1,1,0,0,20230417,20230428
119,1,1,1,1,1,0,0,20230417,20230427
120,1,1,1,1,1,0,0,20230418,20230418
121,1,1,1,1,1,0,0,20230421,20230428
122,0,0,0,0,0,1,1,20230422,20230430
123,0,0,0,0,0,1,1,20230422,20230430
124,0,0,0,0,0,1,1,20230422,20230429
125,0,0,0,0,0,1,1,20230422,20230429
126,0,0,0,0,0,1,1,20230423,20230423
127,0,0,0,0,0,1,1,20230423,20230430
128,1,1,1,1,1,0,0,20230424,20230425
129,1,1,1,1,1,0,0,20230424,20230427
130,1,1,1,1,1,0,0,20230424,20230426
131,1,1,1,1,1,0,0,20230424,20230424
132,1,1,1,1,1,0,0,20230424,20230428
133,1,1,1,1,1,0,0,20230425,20230427
134,1,1,1,1,1,0,0,20230425,20230428
135,1,1,1,1,1,0,0,20230426,20230426
136,1,1,1,1,1,0,0,20230426,20230427
137,1,1,1,1,1,0,0,20230427,20230427
138,1,1,1,1,1,0,0,20230428,20230428
139,0,0,0,0,0,1,1,20230429,20230429
140,0,0,0,0,0,1,1,20230429,20230430
141,0,0,0,0,0,1,1,20230430,20230430
142,1,1,1,1,0,0,1,20230405,20230427
143,1,1,1,1,0,0,1,20230405,20230405
144,1,1,1,1,0,0,1,20230405,20230413
145,1,1,1,1,1,0,0,20230406,20230414
146,1,1,1,1,0,0,1,20230405,20230410
147,1,1,1,1,1,0,0,20230406,20230411
148,0,0,0,0,0,1,0,20230407,20230407
149,0,0,0,0,1,1,0,20230406,20230409
150,0,0,0,0,1,1,0,20230406,20230429
151,0,0,0,0,1,1,0,20230406,20230409
152,0,0,0,0,0,1,0,20230408,20230408
153,0,0,0,0,0,1,0,20230408,20230430
154,0,0,0,0,0,1,1,20230408,20230416
155,0,0,0,0,0,1,0,20230408,20230409
156,0,0,0,0,1,1,0,20230407,20230429
157,0,0,0,0,1,1,0,20230407,20230408
158,0,0,0,0,0,1,0,20230409,20230409
159,0,0,0,0,0,1,0,20230409,20230430
160,0,0,0,0,0,0,1,20230410,20230410
161,1,1,1,1,0,0,1,20230410,20230410
162,1,1,1,1,1,0,0,20230411,20230411
163,1,1,1,1,0,0,1,20230410,20230427
164,1,1,1,1,0,0,1,20230410,20230413
165,1,1,1,1,1,0,0,20230412,20230428
166,1,1,1,1,0,0,1,20230411,20230427
167,1,1,1,1,0,0,1,20230411,20230411
168,1,1,1,1,1,0,0,20230412,20230412
169,1,1,1,1,0,0,1,20230412,20230427
170,1,1,1,1,1,0,0,20230413,20230428
171,0,0,0,0,0,1,0,20230415,20230430
172,0,0,0,0,1,1,0,20230414,20230429
173,0,0,0,0,0,0,1,20230416,20230423
174,1,1,1,1,0,0,1,20230416,20230427
175,0,0,0,0,1,1,0,20230430,20230430
